numero,annee,article,bureau,code_commission,code_imp,commissionnaire,importateur,numero.1,origine,produit,provenance,regime,date,libelle_produit,origine_encoded,provenance_encoded,importateur_encoded,commissionnaire_encoded,regime_encoded,pays_correspondance,transaction_repetitivite,risk_score,risk_category
37909,2019,6,19C,52399,55785,Dabobonules,Eufribotor,18427,CHINE,6405909000,CHINE,8797,21/12/2019,#NOM?,21,21,2875,133,67,1,0.0,0.23618532640685894,Vert (Risque Faible)
37910,2019,3,19C,82800,82800,Fabufritor,Fabufritor,18464,ÉTATS-UNIS,8418299000,ÉTATS-UNIS,1450,01/11/2019,#NOM?,110,106,3042,246,3,1,0.4941860465116279,0.15242935533520446,Vert (Risque Faible)
37911,2019,1,19C,33309,33309,Bafrigusnulius,Agubues,18474,ÉTATS-UNIS,8704909000,BELGIQUE,1450,01/11/2019,#NOM?,110,11,178,78,3,0,1.0,0.992979277432753,Rouge (Très Susceptible de Fraude)
37912,2019,1,19C,79098,622,Aubidabibues,Ditin,18480,PORTUGAL,4802569000,PORTUGAL,8797,01/11/2019,#NOM?,78,76,2107,52,67,1,0.029069767441860468,0.07966498142490071,Vert (Risque Faible)
37913,2019,7,19C,7512,7512,Difricio,Fadagustus,18489,TURQUIE,7213919000,CHINE,1159,01/11/2019,#NOM?,105,21,3071,160,1,0,0.29069767441860467,0.5114852205442801,Orange (Risque Modéré)
37914,2019,7,19C,20241,135169,Braucus,Braugudadacus,18510,CHINE,2202999000,CHINE,8797,01/11/2019,- AUTRES :-- AUTRES :--- AUTRES,21,21,1631,127,67,1,0.0,0.19039929068781108,Vert (Risque Faible)
37915,2019,2,18N,109616,24809,Eunules,Dubobibilius,81989,JAPON,8703332000,"CORÉE, RÉPUBLIQUE DE",8797,01/11/2019,"-AUTRES VÉHICULES, UNIQUEMENT À MOTEUR À PISTON À ALLUMAGE PAR COMPRESSION (DIESEL OU SEMI-DIESEL) : -- D'UNE CYLINDRÉE EXCÉDANT 2500 CM3 : ---USAGÉS",53,26,2379,238,67,0,0.005813953488372093,0.5373805250590392,Orange (Risque Modéré)
37916,2019,4,19C,85963,91127,Dunules,Bebibogustor,18527,CHINE,3402199000,CHINE,8797,01/11/2019,-- Autres Agents de Surface Organiques : --- Autres (Non ConditionnÃ©s Pour La vente Au dÃ©tail),21,21,1137,204,67,1,0.0,0.21337958746729277,Vert (Risque Faible)
37917,2019,3,18N,109616,24809,Eunules,Dubobibilius,81989,JAPON,8703332000,"CORÉE, RÉPUBLIQUE DE",8797,01/11/2019,"-AUTRES VÉHICULES, UNIQUEMENT À MOTEUR À PISTON À ALLUMAGE PAR COMPRESSION (DIESEL OU SEMI-DIESEL) : -- D'UNE CYLINDRÉE EXCÉDANT 2500 CM3 : ---USAGÉS",53,26,2379,238,67,0,0.005813953488372093,0.6930238553932695,Orange (Risque Modéré)
37918,2019,5,19C,34228,7540,Fanulaunulius,Didabebibolus,18553,TURQUIE,6405909000,TURQUIE,8797,01/11/2019,#NOM?,105,100,2006,256,67,1,0.0,0.023437321084024496,Vert (Risque Faible)
37919,2019,1,19C,35,52429,Dobebodanules,Dogufribunulautor,18571,BRÉSIL,8704211990,BRÉSIL,1159,08/11/2019,"- AUTRES, À MOTEUR-- D'UN POIDS EN CHARGE MAXIMAL N'EXCÉDANT PAS 5 TONNES :--- NEUFS :---- AUTRES :----- AUTRES",13,13,2274,166,1,1,0.05232558139534884,0.3095812128551662,Vert (Risque Faible)
37920,2018,2,15M,6482,6482,Bafribofridatus,Enulius,17456,SÉNÉGAL,303330000,SÉNÉGAL,6171,05/10/2018,"- POISSONS PLATS (PLEURONECTIDAE, BOTHIDAE, CYNOGLOSSIDAE, SOLEIDAE, SCOPHTHALMIDAE ET CITHARIDAE),A L EXCLUSION DES ABATS DE POISSONS COMESTIBLES DES N°S 0303.91 À 0303.99:
--SOLES (SOLEA SPP.)",96,93,2746,77,48,1,0.561046511627907,0.32752852292000717,Vert (Risque Faible)
37921,2018,1,15M,6482,6482,Bafribofridatus,Enulius,17457,SÉNÉGAL,306170000,SÉNÉGAL,5525,05/10/2018,#NOM?,96,93,2746,77,40,1,0.561046511627907,0.18431569187030755,Vert (Risque Faible)
37922,2018,2,15M,6482,6482,Bafribofridatus,Enulius,17457,SÉNÉGAL,306170000,SÉNÉGAL,5525,05/10/2018,#NOM?,96,93,2746,77,40,1,0.561046511627907,0.3615732199466388,Vert (Risque Faible)
37923,2018,3,15M,6482,6482,Bafribofridatus,Enulius,17457,SÉNÉGAL,307490000,SÉNÉGAL,5525,05/10/2018,- SEICHES ET SEPIOLES; CALMARS ET ENCORNETS :-- AUTRES,96,93,2746,77,40,1,0.561046511627907,0.44191231848155,Orange (Risque Modéré)
